"user_id","num_clicks","num_sessions","avg_session_duration","user_category","current_age","avg_flight_duration_hrs","travel_perk","age_group","gender","married","has_children","home_country","home_airport","home_airport_lat","home_airport_lon","sign_up_date","num_trips","num_flights","money_spent_hotel","flights_from_home_airport","total_seats","total_flight_cost","unique_destinations","total_trips_overall","times_of_group_bookings","total_revenue_generated_married","more_than_one_international_trip"
"167852","63","8","58.00","Standard Travellers","18","0","10% off on taxi services","18-25","F","false","false","usa","MCF","27.849","-82.521","2022-05-03","0","0","0","0","0","0","0","0","0","0","No"
"181157","153","8","141.13","Business","53","182.40","Access to Business Lounges","46-60","F","true","false","usa","HOU","29.645","-95.279","2022-05-15","3","6","4987.80","3","6","2325.9020","2","3","1","24479.22","Yes"
"252835","117","8","108.25","Solo","38","90.67","Food vouchers","36-45","F","false","true","usa","ORD","41.979","-87.904","2022-07-18","5","10","1460","5","5","1615.635","4","5","0","0","Yes"
"283325","114","8","105.63","Solo","51","78.00","Food vouchers","46-60","F","true","false","usa","DAL","32.847","-96.852","2022-08-12","2","2","2884","1","1","407.943","1","2","0","4624.95","Yes"
"299476","187","9","154.11","Business","39","114.00","Access to Business Lounges","36-45","F","true","false","usa","ATL","33.64","-84.427","2022-08-25","1","2","71","1","1","192.38","1","1","0","18721.16","Yes"
"316527","139","8","130.00","Solo","41","102.00","Food vouchers","36-45","F","true","true","canada","YWG","49.91","-97.234","2022-09-08","4","8","5658.30","4","5","2436.64","4","4","1","8094.94","Yes"
"340166","88","8","81.63","Standard Travellers","51","0","10% off on taxi services","46-60","M","true","true","usa","SFO","37.619","-122.375","2022-09-27","1","0","474","0","0","0","0","1","0","474.00","No"
"374341","105","8","98.13","Standard Travellers","25","528.00","10% off on taxi services","18-25","F","false","false","usa","YIP","42.238","-83.53","2022-10-22","3","0","6840","0","0","0","0","3","0","0","Yes"
"375160","41","8","38.00","Standard Travellers","20","0","10% off on taxi services","18-25","F","false","false","usa","EFD","29.607","-95.159","2022-10-22","0","0","0","0","0","0","0","0","0","0","No"
"375729","142","8","131.13","Solo","53","110.40","Food vouchers","46-60","F","false","false","usa","ATL","33.64","-84.427","2022-10-23","3","6","1667","3","3","896.282","3","3","0","0","Yes"
"385689","92","8","85.75","Solo","49","104.00","Food vouchers","46-60","F","false","true","usa","BNA","36.124","-86.678","2022-10-29","4","6","3545","3","4","1738.046","3","4","1","0","Yes"
"388767","104","8","97.13","Solo","44","180.00","Food vouchers","36-45","F","true","true","usa","TLH","30.396","-84.35","2022-10-31","1","2","1890","1","1","372.34","1","1","0","3764.60","Yes"
"431746","75","8","69.88","Standard Travellers","40","72.00","10% off on taxi services","36-45","F","false","false","usa","DSM","41.534","-93.663","2022-11-25","1","2","207.10","1","2","1100.32","1","1","1","0","Yes"
"437069","204","8","190.63","Solo","43","126.86","Food vouchers","36-45","F","false","false","usa","DMA","32.166","-110.883","2022-11-28","5","10","2403.90","5","6","2123.52","5","5","1","0","Yes"
"437251","150","8","137.63","Solo","43","64.00","Food vouchers","36-45","F","false","false","canada","YXU","43.036","-81.154","2022-11-28","3","6","281","3","3","1087.12","2","3","0","0","Yes"
"438189","175","9","145.00","Solo","36","72.00","Food vouchers","36-45","F","true","false","usa","FTW","32.82","-97.362","2022-11-28","6","12","2077.3","6","7","2873.26","6","6","1","5074.72","Yes"
"438985","186","8","254.37","Solo","30","144.00","Food vouchers","26-35","F","false","false","usa","JFK","40.64","-73.779","2022-11-29","2","4","584.10","4","2","1281.7385","2","2","0","0","Yes"
"448295","134","8","124.88","Solo","51","72.00","Food vouchers","46-60","M","true","false","usa","LBB","33.664","-101.823","2022-12-04","2","4","224","2","2","526.45","2","2","0","3882.20","Yes"
"452612","279","8","846.11","Solo","43","112.00","Food vouchers","36-45","F","true","true","usa","ROC","43.119","-77.672","2022-12-06","1","2","592","3","1","341.65","1","1","0","3926.61","Yes"
"463783","86","9","72.56","Solo","50","84.00","Food vouchers","46-60","F","false","false","usa","STL","38.748","-90.36","2022-12-12","4","6","5582","3","3","917.47","3","4","0","0","Yes"
"469824","146","8","135.25","Solo","51","144.00","Food vouchers","46-60","F","false","false","usa","LAX","33.942","-118.408","2022-12-15","3","4","2130.0","2","2","190.25","2","3","0","0","Yes"
"471161","133","8","122.88","Solo","41","112.00","Food vouchers","36-45","F","false","false","usa","EFD","29.607","-95.159","2022-12-15","2","4","279.20","2","3","1565.942","2","2","1","0","Yes"
"472394","120","8","112.25","Solo","42","132.00","Food vouchers","36-45","F","false","false","usa","TUS","32.116","-110.941","2022-12-16","2","2","3046","1","1","377.85","1","2","0","0","Yes"
"474007","52","8","48.63","Solo","18","60.00","Food vouchers","18-25","F","false","false","usa","ORD","41.979","-87.904","2022-12-17","1","2","0","1","1","77.23","1","1","0","0","Yes"
"476124","100","8","93.00","Business","35","84.00","Access to Business Lounges","26-35","F","false","false","canada","YED","53.667","-113.467","2022-12-18","3","6","1122","3","3","1224.9925","3","3","0","0","Yes"
"483982","91","8","85.00","Solo","18","112.00","Food vouchers","18-25","F","false","false","usa","OKC","35.393","-97.601","2022-12-22","2","4","1205","2","2","513.73","2","2","0","0","Yes"
"485505","85","8","79.63","Solo","28","48.00","Food vouchers","26-35","F","false","false","usa","PHX","33.434","-112.008","2022-12-23","2","3","1110","2","3","386.483","2","2","1","0","Yes"
"485891","316","8","754.05","Solo","33","84.00","Food vouchers","26-35","F","false","true","usa","TYS","35.812","-83.993","2022-12-23","1","2","176.4","1","1","227.86","1","1","0","0","Yes"
"488865","100","8","92.25","Solo","36","114.00","Food vouchers","36-45","F","false","false","canada","YHM","43.173","-79.935","2022-12-24","3","6","788","3","3","575.10","3","3","0","0","Yes"
"490576","82","8","76.50","Solo","57","132.00","Food vouchers","46-60","M","true","false","usa","SJC","37.362","-121.929","2022-12-25","2","3","612.4","2","2","636.62","2","2","0","2050.48","Yes"
"490608","147","9","122.11","Solo","35","48.00","Food vouchers","26-35","F","false","false","usa","LGA","40.777","-73.872","2022-12-25","2","4","407","2","3","2212.86","1","2","1","0","Yes"
